Perturbation [%], delta omega [Hz/m]
1e-06, -0.0017437286921199162
0.0034492413793103453, -5.988066923060192
0.0068974827586206905, -11.922073450397018
0.010345724137931035, -17.804663218191745
0.013793965517241382, -23.636715610854697
0.017242206896551728, -29.4190900722279
0.020690448275862073, -35.15262666428415
0.02413868965517242, -40.838146612471014
0.027586931034482766, -46.4764528335039
0.03103517241379311, -52.06833043959066
0.034483413793103455, -57.61454722669734
0.0379316551724138, -63.11585415758417
0.041379896551724145, -68.57298580715579
0.04482813793103449, -73.98666082794558
0.048276379310344834, -79.35758235547428
0.05172462068965518, -84.68643844105993
0.05517286206896553, -89.9739024504193
0.058621103448275876, -95.220633446696
0.06206934482758622, -100.42727658279225
0.06551758620689656, -105.59446344766103
0.06896582758620691, -110.72281243730309
0.07241406896551725, -115.81292908527362
0.07586231034482759, -120.86540640751394
0.07931055172413794, -125.88082521045669
0.08275879310344829, -130.8597544183839
0.08620703448275863, -135.80275136271172
0.08965527586206898, -140.7103620804747
0.09310351724137932, -145.58312160272075
0.09655175862068967, -150.42155422721396
0.1, -155.22617378678942
