Chamber Length [m], Eigenvalues [Hz], Continuous [Hz], Discrete [Hz] 
0.141, (-779.3706397665952+9.805886233288998j), (1775.0057564444928+55.223975748773526j), (1635.4135540021211+50.78190895764421j) 
0.1419, (-777.6396112992785+9.85216273095272j), (1772.6026980409597+55.02396100586001j), (1643.4995457306695+50.91544024747079j) 
0.14279999999999998, (-776.449066231778+9.898289674773405j), (1774.8560440031385+54.75492285786241j), (1655.8702797174612+50.98096205370544j) 
0.1437, (-774.3855736375432+9.943915470385672j), (1769.4384813655552+54.59720013907124j), (1661.0144139062934+51.14675968050956j) 
0.14459999999999998, (-773.4374309195521+9.988229158836292j), (1773.7436926101138+54.30336873269745j), (1675.2514712373013+51.180667802186086j) 
0.1455, (-771.717607733376+10.034101780492026j), (1771.2180225334+54.10771213479912j), (1682.994582309709+51.30329826081588j) 
0.1464, (-770.5041168920358+10.079202488855026j), (1773.1336424679655+53.83704538125415j), (1694.9187611795503+51.35060086450481j) 
0.1473, (-768.4772688557249+10.124407414224171j), (1767.7587038218944+53.68419007262562j), (1699.7996043929459+51.50693635265232j) 
0.1482, (-767.4850228876212+10.167932526283005j), (1771.5677283409311+53.389511729348854j), (1713.4688026646104+51.52268197354041j) 
0.14909999999999998, (-765.8061044314805+10.212940914027815j), (1769.1771166744218+53.1920804813254j), (1721.095808573009+51.62847845410473j) 
0.15, (-764.5802537007559+10.257109291888815j), (1770.82884403873+52.919776713753045j), (1732.607371126054+51.657203822311025j) 
