duct length, frequency, analytic, continuous, discrete_fine, discrete_coarse
1.0, 84.68843573676978, -84.68843573676978, -84.8322722366157, -84.50667946787266, -83.76567776767367
1.01, 83.84993637303938, -83.0197389832073, -83.1607103514628, -82.84296585228286, -82.12591701934741
1.02, 83.0278781733037, -81.39988056206245, -81.5381007396989, -81.22783806164566, -80.53819977475263
1.03, 82.22178226870852, -79.82697307641604, -79.9624890165188, -79.65951712353711, -78.99598513745562
1.04, 81.43118820843247, -78.29921943118507, -78.43208124200433, -78.13612437673122, -77.49731997720869
1.05, 80.65565308263788, -76.81490769775036, -76.94522548770173, -76.65604609442063, -76.04059818455744
1.06, 79.89475069506582, -75.37240631609983, -75.50027769830045, -75.2175800354947, -74.62428567095341
1.07, 79.14807078202783, -73.9701596093718, -74.0956248666588, -73.81924497454038, -73.24706932541407
1.08, 78.41521827478682, -72.60668358776557, -72.72979841735328, -72.45950274320748, -71.90720162883862
1.09, 77.69581260254107, -71.28056202067988, -71.40139397101034, -71.13701214603131, -70.60354259228852
1.1, 76.98948703342707, -69.99044275766096, -70.10908876155129, -69.8503586757881, -69.3348108386915
