Plenum Height [m], Eigenvalues [Hz], Continuous [Hz], Discrete [Hz] 
0.0025, (4770.816650137413-4.066696387698406j), (-723115.9659738127+1869.5366083395975j), (-736129.570386656+1903.1858228887374j) 
0.00255, (4734.422759054887-3.9739215058779473j), (-708644.9170910935+1805.4394048912948j), (-721849.0197376971+1840.0723067023637j) 
0.0026, (4698.773210503986-3.882261560173784j), (-704535.6645203274+1768.6422374663316j), (-708030.0968623623+1779.336317299594j) 
0.00265, (4663.369984895771-3.793744088046532j), (-696495.0625384861+1722.8573879518403j), (-694460.8583523936+1720.8678111677327j) 
0.0027, (4629.0629480149355-3.7087986144726397j), (-682975.343198406+1665.448806257576j), (-681421.2480707477+1665.7668787359473j) 
0.00275, (4595.705963427998-3.6270661624187284j), (-670214.1103432528+1611.6048483471727j), (-669425.2839972047+1614.700585020407j) 
0.0028, (4562.533311122955-3.547129882324995j), (-655271.6084638258+1553.7927139437234j), (-656459.6315820159+1562.7181059176714j) 
0.00285, (4530.091695123708-3.4703591147207278j), (-646248.8452408059+1511.7114518842102j), (-644475.1126630424+1514.939660537224j) 
0.0029000000000000002, (4498.223622380221-3.39494448260184j), (-632365.5413328512+1459.2007833228352j), (-633022.4456465056+1469.0746440866767j) 
0.00295, (4466.808444480482-3.3221138983560885j), (-623467.153771638+1418.7681863952164j), (-621441.6196875094+1424.23070533416j) 
0.003, (4436.303395680776-3.25191380281689j), (-608177.2391803327+1366.4722567332176j), (-610632.1884865277+1382.4528381509385j) 
