Perturbation [m], delta lambda DynX [Hz/m] 
1e-06, -0.0017245003409832654
0.0034492413793103453, -5.948218349592424
0.0068974827586206905, -11.894713004086737
0.010345724137931035, -17.841208449983444
0.013793965517241382, -23.787704673749133
0.017242206896551728, -29.734201662162615
0.020690448275862073, -35.68069940229514
0.024138689655172418, -41.627197881512885
0.027586931034482762, -47.57369708745801
0.031035172413793107, -53.52019700805235
0.03448341379310345, -59.466697631484855
0.0379316551724138, -65.4131989461917
0.041379896551724145, -71.35970094087568
0.04482813793103449, -77.3062036044729
0.048276379310344834, -83.2527069261694
0.05172462068965518, -89.19921089537284
0.055172862068965524, -95.14571550172292
0.05862110344827587, -101.09222073508104
0.06206934482758621, -107.03872658550755
0.06551758620689656, -112.98523304329275
0.0689658275862069, -118.9317400989139
0.07241406896551726, -124.8782477430564
0.0758623103448276, -130.8247559665912
0.07931055172413794, -136.771264760581
0.08275879318181818, -142.71777425141752
0.08620703454545454, -148.66428413319758
0.0896552759090909, -154.6107945596924
0.09310351727272727, -160.55730552266658
0.09655175863636364, -166.5038170140563
0.1, -172.4503290259506
