freq [Hz], gain [-], phase [degrees],
0.0001,1.00438255852712,-7.1961126970618E-05,-7.1961126970618E-05
20,1.00561629397011,-13.0020748258343,-13.0020748258343
40,1.12054498329836,-25.4371871855299,-25.4371871855299
60,1.29329089795913,-45.4076142165922,-45.4076142165922
80,1.40149997328243,-68.9227257703815,-68.9227257703815
100,1.45129441966421,-93.3568794511321,-93.3568794511321
120,1.45338596586309,-118.438189570727,-118.438189570727
140,1.40901616501118,-144.205860458477,-144.205860458477
160,1.31771601184032,-170.715400682244,-170.715400682244
180,1.18058348799769,162.021283357401,-197.978716642599
200,1.00435357641581,134.09352455057,-225.906475449429
220,0.803684669397232,105.604703869469,-254.395296130531
240,0.598068038604537,76.4474085967134,-283.552591403287
260,0.406528495857699,45.9290650898902,-314.07093491011
280,0.244680159625066,11.6974812009895,-348.302518799011
300,0.127290831300049,-34.6337524146006,-394.633752414601
320,0.082143755904022,-109.329250659592,-469.329250659592
340,0.102658590785931,-171.631562479286,-531.631562479286
360,0.124814977029942,151.301578841626,-568.698421158374
380,0.131145715621972,123.22563418243,-596.77436581757
400,0.123066054111486,98.8941246644057,-621.105875335594
420,0.104959417858248,76.5999420648619,-643.400057935138
440,0.081284256963546,55.620719180608,-664.379280819392
460,0.055840007936897,35.5138270348543,-684.486172965146
480,0.031549244743621,15.647105558507,-704.352894441493
500,0.010472598278576,-7.85156540263135,-727.851565402631
