plenum height, eigenvalues, continuous, discrete
0.0025, (29845.954714601943-25.56273690099308j), (-749845.1904670572+1939.5320958468135j), (-733769.0441562008-1906.619295868857j) 
0.00255, (29616.661762786724-24.964910714130678j), (-728777.004468403+1856.6516392131057j), (-719464.5939170439-1842.4333831530528j) 
0.0026, (29392.052775655717-24.396338610017573j), (-713742.0379226777+1791.5853529814044j), (-705695.5793258161-1782.0199853717181j) 
0.00265, (29171.783643086022-23.84435065374217j), (-699492.4539944832+1730.2645929045389j), (-692319.886684939-1724.170322412767j) 
0.0027, (28955.666326774568-23.30795293658497j), (-686220.4088624002+1673.5034793062084j), (-679341.9511107495-1669.1256182252705j) 
0.00275, (28743.353382007645-22.788673519187913j), (-671754.6802063268+1615.6239687180139j), (-666509.0035849126-1615.8998709815523j) 
0.0028, (28535.385735156335-22.29336279267763j), (-651208.6389187764+1545.0047484884924j), (-654170.5314837465-1565.9496117775448j) 
0.00285, (28331.125966892974-21.800623069669186j), (-650267.6991110531+1521.6489154464518j), (-642197.3184842108-1517.3455020003044j) 
0.0029000000000000002, (28130.67413831211-21.32518926036603j), (-631627.8350748068+1458.2447512902677j), (-630591.5400171303-1471.2394057735382j) 
0.00295, (27933.556767550148-20.86775148032368j), (-628112.845853057+1430.5181217288632j), (-619211.7470346611-1426.7020192242096j) 
0.003, (27740.21113328813-20.422472906681303j), (-614697.0175952889+1381.5331403341922j), (-608171.9157071447-1384.3710862327418j) 
