duct length, frequency, analytic, continuous, discrete_fine, discrete_coarse
1.0, 84.68843573676978, -84.68843573676978, -84.83227065232468, -84.50667948127081, -83.77430627189662
1.01, 83.84993637303938, -83.0197389832073, -83.16070722417392, -82.84293668242726, -82.1383790630924
1.02, 83.0278781733037, -81.39988056206245, -81.53806582498362, -81.22783283501566, -80.54909834871981
1.03, 82.22178226870852, -79.82697307641604, -79.96245728124815, -79.65949835844901, -79.00514892472636
1.04, 81.43118820843247, -78.29921943118507, -78.43208126236152, -78.13612066501636, -77.50484281938125
1.05, 80.65565308263788, -76.81490769775036, -76.94522442853005, -76.65603187035919, -76.04656841192318
1.06, 79.89475069506582, -75.37240631609983, -75.50024779867967, -75.21758480008721, -74.62878646101
1.07, 79.14807078202783, -73.9701596093718, -74.09559674791431, -73.81922587860377, -73.25002635620335
1.08, 78.41521827478682, -72.60668358776557, -72.72979933530846, -72.45951625672035, -71.9088825777934
1.09, 77.69581260254107, -71.28056202067988, -71.4013911405397, -71.13699514842688, -70.6040113701248
1.1, 76.98948703342707, -69.99044275766096, -70.10906275239849, -69.85035778658715, -69.33412758488515
