duct length, eigenvalues, continuous, discrete
1.0, (1242.3734492771596+6.718261614404552j), (-186.78809426560818-0.23359816282725218j), (-184.93635473757809+0.23087227671277863j) 
1.1, (1135.8344070252247+6.384715561732222j), (-157.25129147392244-0.7598765722427484j), (-155.70765253779268+0.7519893230264777j) 
1.2, (1045.27828206536+5.838007885122237j), (-133.92722788639492-0.9668482002147811j), (-132.62316592969844+0.9570360932115739j) 
1.3, (967.9765585359783+5.217400052179683j), (-115.45139625132838-0.9986709138749114j), (-114.33491930898712+0.9886602084762924j) 
1.4, (900.8720124841918+4.611954735420436j), (-100.39792592000437-0.9450533805358641j), (-99.43225815775463+0.9356542139757171j) 
1.5, (842.3567989266954+4.050159723478153j), (-88.08562374861363-0.8546387619928688j), (-87.24251086110453+0.8461933478072633j) 
1.6, (790.7545718837887+3.5511336398238234j), (-77.83300547506012-0.7546698434458373j), (-77.0912154181177+0.7472520243845161j) 
1.7000000000000002, (745.066411512437+3.111508605806256j), (-69.26431345085722-0.6570194244923551j), (-68.60644757192586+0.6505858475268277j) 
1.8, (704.2419256605872+2.7319276195773803j), (-61.99663215330721-0.5683254199552649j), (-61.409696212573444+0.5627804117204683j) 
1.9, (667.6337956480928+2.402833988421559j), (-55.80778400986453-0.4898043999337395j), (-55.28130433576073+0.4850199647921669j) 
2.0, (634.5727991503571+2.1205214360641156j), (-50.48310638441458-0.4219816687037156j), (-50.00799109851673+0.41786964300835966j) 
